Gene stable ID,HGNC ID,HGNC symbol,Chromosome/scaffold name,Karyotype band,Gene start (bp),Gene end (bp)
ENSG00000248238,HGNC:53370,LINC02438,4,p15.31,19172335,19456994
ENSG00000279607,,,10,q23.33,93071972,93073466
ENSG00000139835,HGNC:20310,GRTP1,13,q34,113324163,113364148
ENSG00000236556,,,10,q21.1,59282147,59282835
ENSG00000250238,,,4,p16.3,105959,107114
ENSG00000270973,HGNC:51208,SMARCE1P7,10,q24.31,101181144,101181951
ENSG00000283053,,,10,q23.31,90622143,90623611
ENSG00000170891,HGNC:24435,CYTL1,4,p16.2,5014586,5019458
ENSG00000151151,HGNC:20739,IPMK,10,q21.1,58191517,58267894
ENSG00000196781,HGNC:11837,TLE1,9,q21.32,81583683,81689547
ENSG00000270258,HGNC:32183,DUXAP4,10,q11.21,45055656,45056268
ENSG00000226447,HGNC:54109,ZNF25-DT,10,p11.21,37976825,37992467
ENSG00000213341,HGNC:1974,CHUK,10,q24.31,100188300,100229596
ENSG00000155275,HGNC:26653,TRMT44,4,p16.1,8436140,8493531
ENSG00000105549,HGNC:13706,THEG,19,p13.3,361747,376026
ENSG00000132141,HGNC:1621,CCT6B,17,q12,34927859,34981078
ENSG00000227762,HGNC:42322,GUSBP8,5,q21.1,99532628,99534611
ENSG00000247345,,,5,q11.2,59039761,59063503
ENSG00000253412,HGNC:5693,IGHVIII-13-1,14,q32.33,106142287,106142577
ENSG00000211945,HGNC:5549,IGHV1-18,14,q32.33,106184901,106185394
ENSG00000249835,HGNC:40163,VCAN-AS1,5,q14.3,83531352,83581320
ENSG00000254310,,,5,q14.1,78753596,78753873
ENSG00000238275,HGNC:20334,HOMER2P2,14,q32.33,106286811,106287657
ENSG00000212930,,,5,q14.3,91223419,91223967
ENSG00000285744,,,8,q21.13,78805293,78956082
ENSG00000276434,,,13,q34,113339450,113339958
ENSG00000254231,HGNC:55520,WWP1-AS1,8,q21.3,86333274,86343429
ENSG00000197860,HGNC:23567,SGTB,5,q12.3,65665928,65723035
ENSG00000225083,HGNC:39917,GRTP1-AS1,13,q34,113351645,113361868
ENSG00000270971,HGNC:35429,REXO1L8P,8,q21.2,85642777,85646325
ENSG00000206228,HGNC:32234,HNRNPA1P4,8,q21.13,82291624,82292379
ENSG00000150401,HGNC:20328,DCUN1D2,13,q34,113455819,113490951
ENSG00000253682,,,8,q22.1,92402920,92413681
ENSG00000196405,HGNC:20234,EVL,14,q32.2,99971449,100144236
ENSG00000260398,,,8,q21.13,78605952,78609705
ENSG00000251867,,,8,q21.13,80484561,80486699
ENSG00000251127,,,8,q12.3,61759094,61765969
ENSG00000253634,,,8,q22.1,92460539,92655576
ENSG00000224995,HGNC:51265,LINC01526,6,q14.1,81813286,81814157
ENSG00000237338,HGNC:40243,FTCD-AS1,21,q22.3,46151614,46152647
ENSG00000160284,HGNC:1298,SPATC1L,21,q22.3,46161148,46184476
ENSG00000254954,HGNC:48929,SLC2A13P1,8,q12.1,60141821,60142142
ENSG00000285963,,,6,q13,71532070,71534715
ENSG00000246792,,,8,q21.3,90646420,90670929
ENSG00000065833,HGNC:6983,ME1,6,q14.2,83210402,83431051
ENSG00000205176,HGNC:24660,REXO1L1P,8,q21.2,85656442,85663497
ENSG00000254070,,,8,q11.1,46671839,46671926
ENSG00000203413,HGNC:139,ACTBP6,8,q21.2,84948585,84949674
ENSG00000164949,HGNC:4234,GEM,8,q22.1,94249253,94262350
ENSG00000250662,HGNC:42378,HNRNPKP5,5,p15.2,14877667,14877919
ENSG00000228404,,,21,q22.3,46185079,46188941
ENSG00000271687,HGNC:42272,MTND5P10,5,q21.1,100046977,100048785
ENSG00000160285,HGNC:6708,LSS,21,q22.3,46188141,46228824
ENSG00000113384,HGNC:15452,GOLPH3,5,p13.3,32124716,32174319
ENSG00000267332,HGNC:51441,BOLA3P2,19,p13.2,9019344,9019984
ENSG00000261822,,,15,q15.2,42567031,42569994
ENSG00000279734,,,18,q12.1,30780006,30780424
ENSG00000169018,HGNC:3649,FEM1B,15,q23,68277745,68295862
ENSG00000132405,HGNC:29246,TBC1D14,4,p16.1,6909242,7033118
ENSG00000266586,,,18,q23,78908629,78918993
ENSG00000265843,HGNC:49015,LINC01029,18,q23,77970637,77993731
ENSG00000198168,HGNC:25238,SVIP,11,p14.3,22813799,22830299
ENSG00000007264,HGNC:6906,MATK,19,p13.3,3777970,3802129
ENSG00000233613,HGNC:39889,DCUN1D2-AS,13,q34,113468901,113476135
ENSG00000202347,HGNC:39890,RNU1-16P,13,q34,113478915,113479078
ENSG00000150403,HGNC:20329,TMCO3,13,q34,113491021,113554590
ENSG00000238000,HGNC:20632,PSME2P1,5,q15,98213402,98214121
ENSG00000272130,,,5,p14.3,21569755,21570045
ENSG00000189127,HGNC:33736,ANKRD34B,5,q14.1,80556755,80570280
ENSG00000287295,,,18,q23,75506227,75508114
ENSG00000286126,,,18,p11.23,7455844,7461135
ENSG00000285942,,,15,q15.2,42497395,42548786
ENSG00000264595,,,18,q23,76227990,76233387
ENSG00000264685,HGNC:23182,PRPF19P1,18,q22.1,66068750,66069647
ENSG00000184789,HGNC:14800,OR4C10P,11,p11.2,48432217,48433147
ENSG00000151224,HGNC:6903,MAT1A,10,q22.3,80271820,80289658
ENSG00000255442,,,11,p11.12,50170156,50190441
ENSG00000134759,HGNC:18248,ELP2,18,q12.2,36129444,36180557
ENSG00000205189,HGNC:30953,ZBTB10,8,q21.13,80485619,80526265
ENSG00000255053,HGNC:31263,OR4A44P,11,p11.2,48627546,48628493
ENSG00000254832,HGNC:31259,OR4A40P,11,p11.2,48512273,48513220
ENSG00000200332,,,22,q13.2,41648089,41648190
ENSG00000170946,HGNC:26979,DNAJC24,11,p13,31369840,31432835
ENSG00000100138,HGNC:7819,SNU13,22,q13.2,41673933,41690504
ENSG00000250273,HGNC:39780,PSMC1P5,5,q21.3,107195156,107195332
ENSG00000271874,HGNC:55983,RAI14-DT,5,p13.2,34651457,34651888
ENSG00000146143,HGNC:9370,PRIM2,6,p11.2,57314805,57646850
ENSG00000249236,,,5,q11.2,55978248,56111329
ENSG00000169067,HGNC:17780,ACTBL2,5,q11.2,57480018,57482811
ENSG00000236447,HGNC:41455,ATG10-IT1,5,q14.1,81991995,81992481
ENSG00000140464,HGNC:9113,PML,15,q24.1,73994673,74047827
ENSG00000112874,HGNC:18826,NUDT12,5,q21.2,103548855,103562790
ENSG00000120057,HGNC:10779,SFRP5,10,q24.2,97766751,97771999
ENSG00000228656,HGNC:38497,MYO5BP3,9,q13,63761546,63762824
ENSG00000148331,HGNC:17181,ASB6,9,q34.11,129634604,129642169
ENSG00000255416,HGNC:19606,OR10AF1P,11,q12.1,55948120,55948924
ENSG00000285531,,,22,q13.2,41676745,41677125
ENSG00000107864,HGNC:21746,CPEB3,10,q23.32,92046692,92291078
ENSG00000207457,HGNC:47439,RNU6-476P,22,q13.2,41679711,41679817
ENSG00000184208,HGNC:26294,C22orf46,22,q13.2,41688877,41698136
ENSG00000248733,,,5,q11.2,58846885,58863414
ENSG00000276916,,,13,q34,113511747,113514473
ENSG00000276248,,,13,q34,113527260,113530621
ENSG00000198176,HGNC:11749,TFDP1,13,q34,113584721,113641473
ENSG00000166796,HGNC:6544,LDHC,11,p15.1,18412318,18452063
ENSG00000062194,HGNC:29520,GPBP1,5,q11.2,57173948,57264679
ENSG00000212989,,,8,q21.11,72429620,72430112
ENSG00000231261,HGNC:4988,HMGN2P10,22,q13.2,41709225,41709489
ENSG00000156103,HGNC:7162,MMP16,8,q21.3,88032011,88328025
ENSG00000252603,HGNC:46921,RNU6ATAC22P,22,q13.2,41722043,41722131
ENSG00000266503,HGNC:46178,RN7SL162P,22,q12.1,28642979,28643270
ENSG00000100209,HGNC:28913,HSCB,22,q12.1,28742039,28757515
ENSG00000286842,,,9,q21.33,87436215,87445795
ENSG00000221844,HGNC:51350,DPP3P2,9,q21.13,73474378,73476073
ENSG00000239792,HGNC:49813,CDRT15P5,9,p21.1,30670964,30671966
ENSG00000235901,,,9,q31.1,102515204,102518308
ENSG00000180447,HGNC:4165,GAS1,9,q21.33,86944362,86947506
ENSG00000264431,,,17,p11.2,22693325,22694831
ENSG00000229582,HGNC:24638,PBX3-DT,9,q33.3,125743754,125746552
ENSG00000263435,,,17,q12,33976531,33980851
ENSG00000226049,HGNC:18048,TLK2P1,17,q12,34036681,34039872
ENSG00000231741,,,9,q21.33,85934588,85936599
ENSG00000266364,,,17,p11.2,20633034,20633259
ENSG00000226888,HGNC:35509,RPLP1P10,10,q21.1,59088701,59089039
ENSG00000250068,,,9,q32,112581779,112582590
ENSG00000231345,HGNC:45014,BEND3P1,10,q11.23,50655967,50660472
ENSG00000226246,HGNC:33405,KRT18P36,9,p21.1,30799471,30800746
ENSG00000141314,HGNC:16502,RHBDL3,17,q11.2,32265832,32324659
ENSG00000127084,HGNC:16027,FGD3,9,q22.31,92947523,93036236
ENSG00000138190,HGNC:23196,EXOC6,10,q23.33,92826831,93059493
ENSG00000124664,HGNC:17257,SPDEF,6,p21.31,34537802,34556333
ENSG00000153531,HGNC:21303,ADPRHL1,13,q34,113399611,113453488
ENSG00000183765,HGNC:16627,CHEK2,22,q12.1,28687743,28742422
ENSG00000254195,HGNC:39166,TPM3P3,8,q21.2,84162118,84162471
ENSG00000270275,HGNC:44026,TRMT112P7,8,q11.23,54479597,54479963
ENSG00000253391,,,8,q21.13,79520145,79520649
ENSG00000254089,,,8,q22.1,93259667,93298528
ENSG00000279127,,,6,p12.3,49721931,49724007
ENSG00000147613,HGNC:18997,PSKH2,8,q21.3,86047109,86088621
ENSG00000270521,,,6,q12,66710242,66710827
ENSG00000224605,,,6,q15,91390313,91393000
ENSG00000184486,HGNC:9215,POU3F2,6,q16.1,98834574,98839458
ENSG00000206792,,,X,p22.2,12054824,12054926
ENSG00000206795,,,X,p22.2,12149126,12149238
ENSG00000223487,HGNC:41222,FRMPD4-AS1,X,p22.2,12373167,12375133
ENSG00000231211,HGNC:37009,RPL17P49,X,p22.2,12395757,12396167
ENSG00000227215,,,6,q14.1,82932601,82938677
ENSG00000273800,,,X,p22.2,12583415,12583526
ENSG00000286564,,,6,q12,68223667,68242364
ENSG00000271814,HGNC:46014,RN7SKP290,X,p22.2,12614003,12614197
ENSG00000229083,HGNC:39607,PSMA6P2,X,p22.2,12825840,12826833
ENSG00000249799,HGNC:49828,SNRPCP13,4,p16.1,9583942,9584131
ENSG00000218713,,,6,p12.1,53206598,53208697
ENSG00000249780,,,4,p15.33,12640298,12640637
ENSG00000230691,HGNC:29707,MRPL35P4,X,p22.2,12844865,12845430
ENSG00000181705,,,6,q14.1,80499196,80499392
ENSG00000196664,HGNC:15631,TLR7,X,p22.2,12867072,12890361
ENSG00000276064,,,6,q14.1,77343557,77343654
ENSG00000250321,,,4,p16.3,342821,342962
ENSG00000161912,HGNC:44143,ADCY10P1,6,p21.1,41101022,41140835
ENSG00000233778,,,8,q21.3,92144088,92144435
ENSG00000272885,,,4,p16.3,416118,416537
ENSG00000288589,,,4,p16.3,3972360,3973254
ENSG00000275426,,,4,p16.3,149738,150317
ENSG00000169676,HGNC:3026,DRD5,4,p16.1,9781634,9784009
ENSG00000147596,HGNC:14001,PRDM14,8,q13.3,70051651,70071693
ENSG00000233338,HGNC:40720,TLR8-AS1,X,p22.2,12902817,12908333
ENSG00000250092,,,4,p15.2,21582096,21613728
ENSG00000123200,HGNC:20368,ZC3H13,13,q14.13,45954465,46052759
ENSG00000250084,,,X,p11.22,52448587,52451138
ENSG00000251152,,,4,p15.33,11469250,11478196
ENSG00000278358,,,X,p11.22,52480836,52481131
ENSG00000278160,,,X,p11.22,52481515,52483950
ENSG00000250371,,,4,p15.33,12859101,12864961
ENSG00000275643,HGNC:39699,RBM22P6,X,p11.22,52485046,52485912
ENSG00000251689,,,4,p16.3,269866,270175
ENSG00000204379,HGNC:4111,XAGE1A,X,p11.22,52495808,52500812
ENSG00000287485,,,6,p12.3,47374561,47397398
ENSG00000231762,,,6,q14.1,76660486,76662770
ENSG00000225690,HGNC:30808,TREML5P,6,p21.1,41247369,41249649
ENSG00000228679,,,6,q14.2,83983728,84007323
ENSG00000135324,HGNC:21232,MRAP2,6,q14.2,84033772,84090881
ENSG00000169744,HGNC:6533,LDB2,4,p15.32,16501541,16898678
ENSG00000264643,,,17,q12,33680577,33680883
ENSG00000280245,,,17,q11.2,32504567,32505644
ENSG00000220918,,,6,q14.1,79854684,79855632
ENSG00000218561,,,6,q14.3,86729708,86730108
ENSG00000226558,,,6,p21.1,43364220,43364294
ENSG00000281026,HGNC:25038,N4BP2L2-IT2,13,q13.1,32504506,32509395
ENSG00000197168,HGNC:7748,NEK5,13,q14.3,52033611,52129092
ENSG00000112200,HGNC:21091,ZNF451,6,p12.1,57086844,57170305
ENSG00000254538,,,8,q21.11,73670441,73732897
ENSG00000164687,HGNC:3560,FABP5,8,q21.13,81280536,81284777
ENSG00000223395,HGNC:39700,RBM22P7,X,p11.22,52509903,52510182
ENSG00000277289,,,X,p11.22,52531709,52532051
ENSG00000227058,,,X,p11.22,52545151,52547695
ENSG00000231593,,,X,p11.22,52561769,52562301
ENSG00000228771,,,X,p11.22,52583989,52586312
ENSG00000185319,HGNC:30641,SSXP4,X,p11.22,52598494,52603289
ENSG00000197185,HGNC:30637,SSXP1,X,p11.22,52606535,52611758
ENSG00000223901,,,21,q22.3,46220269,46225364
ENSG00000141127,HGNC:9467,PRPSAP2,17,p11.2,18840085,18931287
ENSG00000234792,,,X,p11.22,52612656,52613523
ENSG00000258081,,,14,q12,26599755,27295516
ENSG00000215424,HGNC:16417,MCM3AP-AS1,21,q22.3,46229196,46259390
ENSG00000187754,HGNC:19653,SSX7,X,p11.22,52644061,52654900
ENSG00000253883,HGNC:5584,IGHV3-19,14,q32.33,106196700,106196990
ENSG00000286607,,,14,q32.11,91264903,91266666
ENSG00000231475,HGNC:5649,IGHV4-31,14,q32.33,106349283,106349792
ENSG00000165496,HGNC:17976,RPL10L,14,q21.2,46651010,46651781
ENSG00000228354,,,X,p11.22,52655207,52657254
ENSG00000276210,HGNC:20168,LINC00226,14,q32.33,106287674,106288828
ENSG00000222608,HGNC:43404,RNA5SP504,X,p11.22,52665231,52665347
ENSG00000225508,HGNC:30642,SSXP5,X,p11.22,52672718,52677051
ENSG00000237275,HGNC:54961,S100A11P10,X,p11.22,52687363,52687633
ENSG00000223958,,,X,p11.22,52707602,52709933
ENSG00000225397,,,X,p11.22,52722338,52722524
ENSG00000229826,,,X,p11.22,52735901,52736107
ENSG00000269281,HGNC:54957,S100A11P8,X,p11.22,52770809,52771080
ENSG00000226867,,,X,p11.22,52781452,52785786
ENSG00000204363,HGNC:33178,SPANXN5,X,p11.22,52796144,52797427
ENSG00000131966,HGNC:17372,ACTR10,14,q23.1,58200080,58235636
ENSG00000229885,,,X,p11.22,52801400,52801529
ENSG00000260493,HGNC:55393,E2F5-DT,8,q21.2,85172077,85177062
ENSG00000196395,,,X,p11.22,52824269,52829267
ENSG00000224781,HGNC:45101,EIF4A2P4,X,p11.22,52832704,52833899
ENSG00000157965,HGNC:19654,SSX8P,X,p11.22,52622935,52633948
ENSG00000277422,HGNC:32243,REXO1L6P,8,q21.2,85826865,85828467
ENSG00000220541,HGNC:31356,PPIHP2,X,q23,113522482,113522989
ENSG00000270524,HGNC:39179,QTRT1P1,X,q23,113882590,113883667
ENSG00000201674,,,X,q23,113944186,113944399
ENSG00000207220,HGNC:48399,RNU1-57P,X,q23,113949917,113950082
ENSG00000270077,,,8,q22.1,97144170,97144723
ENSG00000240327,HGNC:46109,RN7SL93P,X,q23,113976341,113976633
ENSG00000212611,,,X,q23,114017033,114017102
ENSG00000228137,,,21,q22.3,46246890,46247682
ENSG00000241743,HGNC:45056,XACT,X,q23,113616300,114059289
ENSG00000239415,,,21,q22.3,46251549,46254133
ENSG00000211578,HGNC:33139,MIR766,X,q24,119646738,119646848
ENSG00000214321,HGNC:38658,CBX1P4,X,p22.2,17282637,17283093
ENSG00000238764,,,X,p22.2,17357930,17358033
ENSG00000260317,HGNC:56083,LINC02986,8,q21.13,80541300,80543104
ENSG00000265465,HGNC:41592,MIR4768,X,p22.13,17425881,17425954
ENSG00000235834,,,X,p22.13,17528435,17587160
ENSG00000160282,HGNC:3974,FTCD,21,q22.3,46136160,46155579
ENSG00000230020,HGNC:40403,NHS-AS1,X,p22.13,17552349,17557387
ENSG00000226153,HGNC:54897,CHP1P3,X,p22.13,17705339,17705691
ENSG00000253681,,,8,q21.13,76576551,76579345
ENSG00000047634,HGNC:10580,SCML1,X,p22.13,17737449,17754988
ENSG00000132953,HGNC:17796,XPO4,13,q12.11,20777329,20903048
ENSG00000254300,HGNC:49237,LINC01111,8,q21.13,76406654,76524356
ENSG00000276476,,,13,q12.11,22040972,22276526
ENSG00000288005,,,8,q22.1,92687222,92697826
ENSG00000254366,,,8,q21.13,77399072,77537290
ENSG00000235532,HGNC:42732,LINC00402,13,q22.1,74231401,74259976
ENSG00000289302,,,13,q12.3,30408136,30418781
ENSG00000225039,HGNC:49061,LINC01058,13,q12.3,30418339,30422251
ENSG00000289454,,,13,q33.2,105597204,105599561
ENSG00000262198,,,13,q12.12,22884163,22924602
ENSG00000271385,,,10,q23.32,91464578,91464708
ENSG00000236191,HGNC:36848,RPS15AP25,8,q13.2,68525517,68525906
ENSG00000122870,HGNC:19351,BICC1,10,q21.1,58512872,58831435
ENSG00000238121,HGNC:42761,LINC00426,13,q12.3,30340267,30377145
ENSG00000248762,,,8,q22.1,95986108,95993103
ENSG00000253226,HGNC:43762,HAUS1P3,8,q21.11,72618722,72619383
ENSG00000253871,,,8,q12.1,57341021,57365444
ENSG00000233721,,,9,q33.3,126516417,126518808
ENSG00000260677,,,9,q22.33,97743208,97744935
ENSG00000238010,,,9,q33.3,126640756,126641293
ENSG00000135002,HGNC:30324,RFK,9,q21.13,76385526,76394517
ENSG00000289594,,,13,q32.3,100675060,100676887
ENSG00000289644,,,13,q22.1,74304640,74306050
ENSG00000289006,,,13,q12.13,25096140,25098229
ENSG00000288768,,,13,q14.3,53364361,53432602
ENSG00000122043,HGNC:43679,LINC00544,13,q12.3,29935771,29950488
ENSG00000248708,HGNC:53004,LINC02144,5,q14.3,87665345,87733269
ENSG00000230575,,,10,q22.3,76437408,76438775
ENSG00000226578,,,10,p11.21,37775371,37784131
ENSG00000223428,,,10,q22.2,75288333,75288682
ENSG00000234056,HGNC:42813,LINC00463,13,q12.13,25172819,25180079
ENSG00000248727,HGNC:52772,LINC01948,5,q11.2,56451627,56481946
ENSG00000213609,HGNC:36117,RPL7AP50,10,q21.3,63902451,63903245
ENSG00000122863,HGNC:1971,CHST3,10,q22.1,71964395,72013558
ENSG00000230490,,,13,q13.2,33354863,33676820
ENSG00000155254,HGNC:28674,MARVELD1,10,q24.2,97713173,97718150
ENSG00000227873,HGNC:55500,FAM136GP,X,p22.13,17769005,17769398
ENSG00000277150,HGNC:31850,F8A3,X,q28,155456914,155458620
ENSG00000184388,HGNC:31852,PABPC1L2B,X,q13.2,73002939,73006106
ENSG00000203989,HGNC:33519,RHOXF2B,X,q24,120072264,120077690
ENSG00000137038,HGNC:30536,DMAC1,9,p24.1,7796500,7888380
ENSG00000250878,HGNC:41948,METTL21EP,13,q33.1,102880040,102896033
ENSG00000284452,,,2,p25.3,495731,496633
ENSG00000113318,HGNC:7326,MSH3,5,q14.1,80654652,80876815
ENSG00000228643,,,2,p25.3,286419,301515
ENSG00000289235,,,13,q12.11,19957432,19958208
ENSG00000289010,,,13,q34,110520543,110520882
ENSG00000233610,HGNC:42811,LINC00462,13,q14.2,48576974,48590587
ENSG00000289354,,,13,q34,112969557,112969937
ENSG00000289125,,,13,q12.13,25975580,25977504
ENSG00000289381,,,13,q13.1,31796368,31814678
ENSG00000288743,,,13,q14.2,49235513,49247840
ENSG00000229485,HGNC:44977,KSR1P1,10,q11.21,42149310,42149549
ENSG00000229520,HGNC:42734,LINC00404,13,q34,112105357,112106882
ENSG00000237882,HGNC:9266,PPIAP13,10,q22.2,75089248,75089725
ENSG00000226646,HGNC:36656,RPL7P37,10,p11.21,35697300,35698037
ENSG00000289204,,,13,q31.3,94232987,94235379
ENSG00000175718,HGNC:26859,RBMXL3,X,q23,115189410,115192868
ENSG00000230224,HGNC:39288,PHB1P9,10,q24.31,100248271,100249095
ENSG00000289617,,,13,q13.1,31962930,31963742
ENSG00000105988,HGNC:23582,NHP2P1,10,q23.32,92216332,92216793
ENSG00000288765,,,13,q21.1,57630108,57631154
ENSG00000287732,,,10,q25.1,105844834,105904771
ENSG00000266944,,,19,p13.3,3130717,3131398
ENSG00000268447,HGNC:22263,SSX2B,X,p11.22,52751132,52790305
ENSG00000235140,,,10,q21.2,59578467,59650345
ENSG00000228828,HGNC:22227,TLK2P2,10,p11.21,37818606,37820982
ENSG00000119509,HGNC:17870,INVS,9,q31.1,100099243,100302175
ENSG00000237579,HGNC:51207,LINC01514,10,q24.31,101176306,101194147
ENSG00000250611,,,4,p15.31,20037560,20037972
ENSG00000251412,,,4,p15.33,14383123,14409078
ENSG00000143727,HGNC:122,ACP1,2,p25.3,264140,278283
ENSG00000005810,HGNC:23386,MYCBP2,13,q22.3,77042474,77327094
ENSG00000249995,HGNC:49737,ECM1P2,4,p15.33,12639086,12641009
ENSG00000251679,,,4,p15.33,14134936,14143592
ENSG00000251271,HGNC:44376,ALG1L7P,4,p16.3,3935447,3942519
ENSG00000186113,HGNC:15281,OR5D14,11,q11,55795556,55796500
ENSG00000142347,HGNC:7600,MYO1F,19,p13.2,8520778,8577577
ENSG00000283232,HGNC:39970,CYP2C23P,10,q24.31,100105754,100140151
ENSG00000249766,,,4,p15.1,33400538,33400679
ENSG00000249443,,,4,p16.1,9521910,9522276
ENSG00000255297,HGNC:31260,OR4A41P,11,p11.2,48589760,48590687
ENSG00000215612,HGNC:5017,HMX1,4,p16.1,8846076,8871839
ENSG00000255113,HGNC:31267,OR4A48P,11,p11.2,48492026,48492416
ENSG00000286876,,,10,q23.1,83708841,83724834
ENSG00000253658,HGNC:51557,LINC01592,8,q13.2,68880139,69104242
ENSG00000285254,,,10,p12.2,22475455,22478026
ENSG00000236842,,,10,q22.2,75430571,75431588
ENSG00000232554,HGNC:44391,RSU1P2,10,q11.21,45099487,45154606
ENSG00000181943,HGNC:15158,OR4A21P,11,q11,55491205,55492148
ENSG00000182565,HGNC:14696,OR4C2P,11,p11.2,48420210,48421273
ENSG00000232075,HGNC:29706,MRPL35P2,10,q21.3,63634317,63634827
ENSG00000227032,HGNC:36784,RPS2P36,10,q24.1,96620877,96621707
ENSG00000099194,HGNC:10571,SCD,10,q24.31,100347233,100364826
ENSG00000258412,,,14,q32.2,96210860,96214818
ENSG00000270474,HGNC:5590,IGHV3-29,14,q32.33,106356145,106356591
ENSG00000254487,,,11,p11.12,49817778,49825553
ENSG00000159267,HGNC:4976,HLCS,21,q22.13,36748626,36990236
ENSG00000251434,,,4,p15.1,31350284,31351725
ENSG00000219061,HGNC:43966,TRIM51FP,11,p11.12,49833140,49839320
ENSG00000100744,HGNC:20343,GSKIP,14,q32.2,96363452,96387288
ENSG00000248228,HGNC:41383,SLIT2-IT1,4,p15.31,20392154,20394856
ENSG00000249564,,,4,p15.1,29907659,29907791
ENSG00000249998,,,4,p15.32,16973275,17073903
ENSG00000280650,HGNC:29895,KCNIP4-IT1,4,p15.2,21843341,21853188
ENSG00000205213,HGNC:13299,LGR4,11,p14.1,27365961,27472790
ENSG00000205940,HGNC:32537,HSP90AB2P,4,p15.33,13333414,13338657
ENSG00000247624,HGNC:49082,CPEB2-DT,4,p15.32,14909961,15002045
ENSG00000253549,HGNC:51657,CA3-AS1,8,q21.2,85440596,85464915
ENSG00000270075,,,10,q25.1,104312141,104313881
ENSG00000197381,HGNC:226,ADARB1,21,q22.3,45073853,45226560
ENSG00000272988,,,10,q22.1,72053294,72054037
ENSG00000236769,HGNC:54145,LINC02659,10,q11.21,43900874,43912369
ENSG00000152990,HGNC:13839,ADGRA3,4,p15.2,22345071,22516066
ENSG00000246662,HGNC:43644,CIBAR1-DT,8,q22.1,93213302,93700433
ENSG00000232230,HGNC:45234,TPM4P1,10,q24.31,100114417,100115223
ENSG00000233900,HGNC:35819,RPL17P35,10,q21.3,64620374,64620922
ENSG00000241935,HGNC:25155,HOGA1,10,q24.2,97584323,97612802
ENSG00000253692,HGNC:5523,IGHEP1,14,q32.33,105721794,105722527
ENSG00000287352,,,8,q21.13,76162119,76308315
ENSG00000259073,HGNC:30119,FOXN3-AS2,14,q32.11,89576216,89577477
ENSG00000254014,,,8,q21.13,81244156,81244338
ENSG00000147036,HGNC:24767,LANCL3,X,p21.1,37571569,37684463
ENSG00000254120,HGNC:53016,LINC02155,8,q12.3,61889839,61894206
ENSG00000211942,HGNC:5581,IGHV3-13,14,q32.33,106129540,106130072
ENSG00000164951,HGNC:9279,PDP1,8,q22.1,93857807,93926068
ENSG00000258521,,,14,q32.2,100339832,100340554
ENSG00000271201,,,14,q32.33,106206603,106208571
ENSG00000253587,HGNC:5592,IGHV3-30-2,14,q32.33,106344385,106344833
ENSG00000258718,HGNC:53230,LINC02311,14,q31.1,81727780,81743749
ENSG00000253345,HGNC:5673,IGHVII-22-1,14,q32.33,106263362,106263626
ENSG00000253462,HGNC:5698,IGHVIII-26-1,14,q32.33,106309417,106309666
ENSG00000287346,,,14,q32.33,103873148,103880381
ENSG00000236466,HGNC:55661,RCAN2-DT,6,p12.3,46492052,46606162
ENSG00000220831,HGNC:48851,NDUFA5P9,6,q14.3,86214237,86214576
ENSG00000275520,HGNC:44268,FAM236A,X,q13.1,72938163,72938958
ENSG00000215190,HGNC:44417,LINC00680,6,p11.2,57946074,57961501
ENSG00000203942,HGNC:23294,C10orf62,10,q24.2,97589721,97590934
ENSG00000289688,,,13,q12.12,23505238,23535314
ENSG00000283463,HGNC:52398,HSFX4,X,q28,149929573,149931287
ENSG00000139505,HGNC:7453,MTMR6,13,q12.13,25246222,25287488
ENSG00000227851,,,10,q25.2,111349939,111352103
ENSG00000063587,HGNC:13069,ZNF275,X,q28,153334147,153360110
ENSG00000253655,HGNC:5714,JCHAINP1,8,q21.2,84980073,84980547
ENSG00000166167,HGNC:1144,BTRC,10,q24.32,101354033,101557321
ENSG00000104321,HGNC:497,TRPA1,8,q21.11,72019917,72075584
ENSG00000147117,HGNC:12942,ZNF157,X,p11.3,47370578,47414498
ENSG00000126777,HGNC:6467,KTN1,14,q22.3,55559072,55701526
ENSG00000124614,HGNC:10383,RPS10,6,p21.31,34417454,34426069
ENSG00000179222,HGNC:6813,MAGED1,X,p11.22,51803007,51902354
ENSG00000254408,HGNC:8289,OR4A1P,11,p11.12,49898267,49899186
ENSG00000186124,HGNC:15327,OR9M1P,11,q12.1,55850347,55858547
ENSG00000260509,,,13,q12.13,25300124,25301438
ENSG00000255433,HGNC:54252,LINC02735,11,q12.1,56848478,56878078
ENSG00000256694,,,12,p13.33,164664,166321
ENSG00000215349,HGNC:29701,MRPL3P1,13,q12.11,19304593,19305625
ENSG00000236834,HGNC:42755,LINC00421,13,q12.11,19345049,19346749
ENSG00000224976,HGNC:37760,PARP4P2,13,q12.11,19349137,19407962
ENSG00000231184,HGNC:42022,CCNQP3,13,q12.11,19382454,19383072
ENSG00000229791,,,13,q12.11,19408042,19409529
ENSG00000237164,HGNC:39843,SLC25A15P2,13,q12.11,19411231,19416188
ENSG00000223625,HGNC:24406,CYCSP32,13,q12.11,19458398,19458718
ENSG00000232894,HGNC:39252,MRPS31P2,13,q12.11,19552571,19570288
ENSG00000215572,HGNC:3472,ESRRAP1,13,q12.11,19560013,19561269
ENSG00000225316,HGNC:42668,LINC00350,13,q12.11,19561328,19588603
